Student_ID,Name,Gender,Age,Class,Section,Attendance,Study_Hours,Assignments,Previous_Marks,Internal_Marks,Project_Score,Practical_Score,Behavior_Score,Participation,Internet_Access,Family_Income,Parent_Education,Sleep_Hours,Extra_Curricular,Stress_Level,Exam_Preparation,Final_Exam,Final_Grade,Performance,Risk_Level,Pass_Fail
STU100011,Sai Iyer,Female,19,12,B,90.08,4.29,83.12,58.14,59.5,72.31,92.18,66.85,64.72,Yes,44119.0,Graduate,9.04,Yes,4.17,69.18,53.83,C,Average,Medium Risk,Pass
STU100012,Sai Joshi,Female,17,11,C,76.57,6.79,73.92,99.0,83.14,99.4,67.0,85.32,46.51,Yes,42343.0,Graduate,7.08,No,3.67,53.8,68.97,B,Average,Medium Risk,Pass
STU100013,Ishaan Verma,Female,16,11,C,69.55,4.1,58.1,71.99,58.55,81.1,92.29,84.77,92.99,Yes,67897.0,High School,7.66,Yes,4.04,72.49,55.03,C,Average,Medium Risk,Pass
STU100014,Ananya Singh,Female,16,11,A,95.76,5.14,69.38,66.52,54.08,100.0,88.46,76.38,90.52,Yes,60031.0,High School,4.96,No,5.56,71.57,53.17,C,Average,Medium Risk,Pass
STU100015,Riya Sharma,Male,18,11,C,82.77,4.81,66.66,71.36,61.07,82.54,78.95,96.94,58.11,Yes,50976.0,Postgraduate,7.94,Yes,5.14,70.43,53.46,C,Average,Medium Risk,Pass
STU100016,Aditya Mehta,Female,16,9,A,100.0,4.19,71.72,83.99,76.47,96.9,80.7,84.19,68.65,No,33318.0,Graduate,5.89,No,4.25,29.97,52.37,C,Average,Medium Risk,Pass
STU100017,Sai Rao,Female,13,6,A,77.62,4.0,86.37,58.77,66.26,93.92,84.38,57.91,81.92,Yes,27171.0,Postgraduate,7.34,Yes,5.71,81.43,54.46,C,Average,Medium Risk,Pass
STU100018,Arjun Joshi,Male,16,11,A,100.0,4.58,82.06,61.51,72.7,82.95,100.0,89.86,61.51,Yes,47826.0,High School,6.95,Yes,4.01,68.26,62.58,B,Average,Low Risk,Pass
STU100019,Aarav Verma,Female,16,9,A,80.12,4.92,88.36,80.51,92.81,64.11,86.0,70.1,94.56,Yes,44928.0,Graduate,6.73,No,5.09,100.0,66.14,B,Average,Medium Risk,Pass
STU100020,Meera Mehta,Female,15,9,D,98.03,1.54,70.24,45.74,59.52,75.5,68.84,87.57,68.09,Yes,39127.0,High School,5.37,Yes,8.63,46.55,34.08,F,Needs Improvement,High Risk,Fail
STU100021,Riya Mishra,Male,15,8,A,100.0,4.1,98.63,85.85,82.65,74.2,75.84,81.55,60.65,Yes,70198.0,Diploma,6.17,Yes,3.95,59.68,66.41,B,Average,Low Risk,Pass
STU100022,Reyansh Das,Female,14,7,C,69.72,3.41,86.09,44.32,70.5,72.24,65.76,46.3,41.51,Yes,74308.0,High School,5.95,No,4.49,71.01,44.29,D,Needs Improvement,High Risk,Pass
STU100023,Aditya Iyer,Male,17,12,A,76.18,3.07,77.68,66.07,56.68,82.48,56.14,85.26,46.71,Yes,82318.0,Diploma,6.35,No,2.79,47.97,47.03,D,Needs Improvement,Medium Risk,Pass
STU100024,Reyansh Khan,Male,17,11,D,69.6,5.77,85.05,44.42,43.14,63.8,64.83,75.34,80.59,No,30900.0,Doctorate,8.3,Yes,4.42,97.41,45.45,D,Needs Improvement,High Risk,Pass
STU100025,Aditya Mishra,Female,16,10,D,67.24,2.53,65.86,53.1,51.46,65.95,82.96,72.49,74.24,Yes,78223.0,Graduate,6.61,No,5.85,46.25,37.5,F,Needs Improvement,High Risk,Fail
STU100026,Sai Mehta,Male,13,8,B,90.0,1.47,44.37,90.76,78.7,61.76,98.78,72.93,84.68,Yes,20899.0,High School,6.26,Yes,4.04,48.27,54.77,C,Average,Medium Risk,Pass
STU100027,Saanvi Mehta,Male,18,11,C,79.64,4.97,66.9,86.71,77.6,80.13,96.35,87.47,59.87,Yes,47814.0,Graduate,7.71,No,2.83,91.03,65.73,B,Average,Medium Risk,Pass
STU100028,Ananya Verma,Male,15,9,B,82.63,1.43,87.21,88.42,74.54,65.33,65.05,66.94,40.46,Yes,72279.0,Diploma,7.36,Yes,5.82,64.61,52.74,C,Average,Medium Risk,Pass
STU100029,Aadhya Bose,Male,15,9,C,88.67,0.62,77.2,46.82,51.96,64.69,70.01,91.36,61.07,Yes,30849.0,Diploma,9.24,No,6.03,61.45,38.32,F,Needs Improvement,High Risk,Fail
STU100030,Aadhya Joshi,Male,15,9,D,59.71,5.15,73.95,53.18,51.05,86.34,69.77,59.76,100.0,Yes,26841.0,High School,8.11,Yes,6.33,46.59,43.99,D,Needs Improvement,Critical Risk,Pass
STU100031,Meera Khan,Male,14,7,A,97.44,3.95,63.28,75.44,60.62,75.22,45.88,81.55,52.63,Yes,47855.0,Diploma,4.81,No,2.62,91.63,54.49,C,Average,Medium Risk,Pass
STU100032,Kiara Nair,Male,12,6,B,77.81,4.46,46.66,81.45,79.32,82.98,80.29,87.27,69.34,Yes,103083.0,Diploma,7.89,No,7.84,47.69,50.49,C,Average,High Risk,Pass
STU100033,Ayaan Iyer,Female,15,9,D,88.39,2.99,97.37,57.21,66.8,63.25,92.31,86.97,26.56,Yes,105515.0,Postgraduate,7.75,No,4.12,37.5,50.19,C,Average,Medium Risk,Pass
STU100034,Kiara Gupta,Male,17,12,B,89.45,1.48,72.88,60.74,76.01,64.54,77.63,80.21,60.64,Yes,83154.0,Graduate,8.83,Yes,3.08,72.56,54.67,C,Average,Medium Risk,Pass
STU100035,Ira Khan,Male,13,6,D,98.45,1.8,69.56,51.9,51.7,100.0,66.25,75.52,62.55,Yes,31290.0,Postgraduate,6.78,No,7.15,55.67,37.97,F,Needs Improvement,High Risk,Fail
STU100036,Aadhya Das,Male,19,12,C,80.74,3.26,65.93,96.53,85.01,70.07,69.77,71.4,75.97,Yes,49112.0,High School,8.21,Yes,7.77,58.5,55.89,C,Average,Medium Risk,Pass
STU100037,Myra Iyer,Female,17,11,B,56.52,1.66,94.82,62.4,71.61,45.73,75.05,63.33,64.28,Yes,134201.0,High School,6.61,Yes,4.47,75.99,47.67,D,Needs Improvement,High Risk,Pass
STU100038,Riya Sharma,Female,14,7,C,82.69,4.19,89.22,70.5,79.24,87.51,93.78,69.77,42.67,Yes,73601.0,Graduate,7.32,No,3.43,67.64,60.41,B,Average,Medium Risk,Pass
STU100039,Ishaan Verma,Male,15,10,A,84.41,2.96,61.49,71.34,68.39,69.3,78.98,66.46,58.05,Yes,24435.0,Graduate,5.84,Yes,5.98,33.62,44.45,D,Needs Improvement,Medium Risk,Pass
STU100040,Kiara Gupta,Male,12,7,B,69.59,4.0,93.47,87.69,90.49,85.65,91.74,64.5,66.33,Yes,70436.0,Graduate,5.49,No,2.44,68.49,66.09,B,Average,Medium Risk,Pass
STU100041,Avni Khan,Female,18,11,A,83.77,3.95,73.82,54.76,64.45,80.55,81.31,99.64,52.07,Yes,35225.0,Graduate,7.96,No,10.0,66.03,42.54,D,Needs Improvement,High Risk,Pass
STU100042,Reyansh Rao,Female,15,10,A,77.67,4.32,66.84,88.69,69.85,90.89,86.59,57.37,54.68,Yes,43084.0,High School,7.0,No,3.04,77.7,61.13,B,Average,Medium Risk,Pass
STU100043,Arjun Mishra,Female,13,8,C,65.89,4.5,71.6,49.54,62.28,81.5,69.36,91.51,88.09,Yes,68621.0,Graduate,5.59,Yes,5.81,66.81,46.6,D,Needs Improvement,High Risk,Pass
STU100044,Aadhya Bose,Male,11,6,B,90.06,3.15,64.25,88.65,76.1,76.9,72.55,63.16,58.75,Yes,41663.0,Postgraduate,7.9,Yes,4.78,100.0,61.44,B,Average,Low Risk,Pass
STU100045,Ira Nair,Female,19,12,C,75.24,3.99,56.19,42.56,44.02,99.21,66.36,65.73,77.92,Yes,38832.0,Graduate,3.99,Yes,3.26,100.0,45.7,D,Needs Improvement,Medium Risk,Pass
STU100046,Riya Patel,Male,14,9,D,77.12,4.08,87.64,68.33,76.35,48.88,88.33,65.54,66.81,Yes,79714.0,Postgraduate,6.11,No,3.23,51.81,51.11,C,Average,Medium Risk,Pass
STU100047,Kiara Iyer,Female,17,12,A,76.45,0.5,72.69,96.01,89.43,55.12,76.33,64.67,47.86,Yes,68864.0,Graduate,5.17,No,7.36,30.61,42.5,D,Needs Improvement,High Risk,Pass
STU100048,Avni Patel,Female,15,10,C,96.83,4.73,85.26,81.16,74.57,71.09,31.32,89.07,64.01,Yes,57008.0,High School,8.32,Yes,5.83,94.57,61.45,B,Average,Low Risk,Pass
STU100049,Ishaan Rao,Female,16,11,D,81.51,3.94,80.31,76.74,71.83,56.49,87.26,85.06,75.24,Yes,126640.0,Postgraduate,6.52,Yes,3.71,91.32,62.81,B,Average,Medium Risk,Pass
STU100050,Avni Sharma,Male,16,11,A,82.95,4.6,84.23,53.23,52.62,76.01,95.72,75.21,100.0,Yes,54029.0,Graduate,7.09,No,3.98,100.0,55.97,C,Average,Medium Risk,Pass
STU100051,Riya Patel,Male,14,7,A,76.71,1.64,45.31,58.24,42.73,68.61,70.12,100.0,56.1,Yes,56754.0,Graduate,7.33,Yes,3.47,57.68,40.37,D,Needs Improvement,Medium Risk,Pass
STU100052,Krishna Bose,Male,15,8,B,87.55,3.19,63.0,91.51,76.38,95.01,90.32,77.8,68.47,Yes,42624.0,High School,7.89,Yes,6.86,61.35,57.8,C,Average,Medium Risk,Pass
STU100053,Aditya Das,Male,15,9,D,98.19,1.95,84.54,77.56,81.34,76.58,79.19,78.72,86.36,Yes,31769.0,High School,7.76,Yes,6.94,28.35,52.05,C,Average,Medium Risk,Pass
STU100054,Vivaan Bose,Female,15,9,C,89.77,4.89,56.88,84.24,68.54,80.59,52.8,69.77,92.69,Yes,25933.0,High School,7.88,No,6.15,73.19,57.1,C,Average,Medium Risk,Pass
STU100055,Sai Patel,Male,11,6,C,90.24,1.45,81.6,71.18,81.54,71.21,100.0,68.34,58.32,Yes,72356.0,High School,6.71,Yes,5.61,49.76,50.38,C,Average,Medium Risk,Pass
STU100056,Avni Singh,Female,14,9,C,89.27,2.21,55.14,65.49,60.37,62.65,78.16,71.6,67.2,Yes,40171.0,Postgraduate,7.94,No,6.35,48.15,41.37,D,Needs Improvement,Medium Risk,Pass
STU100057,Vivaan Sharma,Female,14,7,C,65.44,4.55,76.25,82.27,74.9,96.47,86.54,88.22,90.03,Yes,157153.0,Graduate,6.28,No,1.8,94.05,68.92,B,Average,Medium Risk,Pass
STU100058,Riya Nair,Female,18,11,C,71.49,2.69,100.0,74.15,75.76,97.54,75.06,84.85,79.21,Yes,32970.0,Diploma,6.56,Yes,5.65,62.1,56.55,C,Average,Medium Risk,Pass
STU100059,Meera Mishra,Female,16,10,A,79.54,2.21,87.62,67.28,77.78,60.25,76.68,93.49,88.6,Yes,34914.0,Diploma,5.31,No,7.24,75.46,46.15,D,Needs Improvement,High Risk,Pass
STU100060,Ayaan Bose,Male,19,12,B,73.29,5.15,48.24,47.38,43.4,100.0,86.26,69.4,91.09,Yes,57026.0,Diploma,8.84,Yes,5.56,70.5,48.79,D,Needs Improvement,High Risk,Pass
STU100061,Saanvi Gupta,Male,17,11,C,69.23,5.22,88.73,85.26,80.17,74.37,67.35,85.07,79.97,Yes,30938.0,Graduate,5.91,No,5.21,83.15,60.23,B,Average,Medium Risk,Pass
STU100062,Vihaan Sharma,Male,15,8,C,59.53,4.86,100.0,77.04,75.54,72.42,100.0,81.67,72.58,Yes,25071.0,Graduate,8.55,No,3.83,51.05,59.11,C,Average,High Risk,Pass
STU100063,Vivaan Mehta,Male,18,12,B,65.84,5.06,100.0,60.3,66.23,91.21,95.03,83.21,57.92,Yes,66630.0,Postgraduate,7.59,No,3.96,57.28,55.67,C,Average,Medium Risk,Pass
STU100064,Krishna Rao,Male,15,8,C,78.92,3.33,83.13,88.87,81.91,89.09,90.36,67.63,65.6,Yes,18339.0,High School,7.22,Yes,4.05,77.85,63.15,B,Average,Medium Risk,Pass
STU100065,Vivaan Iyer,Female,14,8,C,81.17,3.37,55.53,73.9,65.74,79.68,80.39,65.54,66.8,No,53730.0,Postgraduate,7.4,No,5.55,97.6,49.91,D,Needs Improvement,Medium Risk,Pass
STU100066,Vivaan Iyer,Female,17,12,D,72.48,2.66,82.52,74.21,80.81,74.13,71.27,84.47,91.58,Yes,54242.0,Diploma,5.83,Yes,4.13,75.95,56.1,C,Average,Medium Risk,Pass
STU100067,Aditya Iyer,Female,13,8,D,82.95,3.97,99.94,84.14,83.19,99.52,98.38,88.47,73.17,Yes,74663.0,Doctorate,8.77,Yes,1.45,76.57,76.32,B+,Good,Low Risk,Pass
STU100068,Sai Bose,Male,11,6,B,76.79,2.86,73.19,80.7,78.57,70.36,90.18,70.58,73.34,Yes,60967.0,Graduate,6.6,No,6.7,90.56,54.69,C,Average,High Risk,Pass
STU100069,Aditya Mishra,Other,14,9,A,95.09,3.01,91.65,74.7,77.21,78.98,76.73,85.31,52.11,Yes,172122.0,Postgraduate,8.11,No,6.14,61.04,57.21,C,Average,Medium Risk,Pass
STU100070,Diya Mehta,Female,17,11,C,80.06,4.66,63.41,66.98,74.52,100.0,68.82,92.39,91.68,Yes,41454.0,Postgraduate,6.4,Yes,5.81,56.18,55.11,C,Average,Medium Risk,Pass
STU100071,Saanvi Gupta,Male,13,7,D,90.36,5.6,81.59,99.0,84.73,65.13,59.15,73.66,56.19,Yes,27010.0,Graduate,5.43,Yes,3.23,78.1,66.2,B,Average,Low Risk,Pass
STU100072,Kiara Mishra,Male,16,9,A,84.44,4.34,38.66,58.26,51.61,75.79,82.46,60.73,64.87,Yes,169554.0,Diploma,9.18,No,4.12,79.31,48.04,D,Needs Improvement,Medium Risk,Pass
STU100073,Kiara Sharma,Male,12,6,C,65.18,6.57,61.74,81.94,77.72,100.0,80.52,62.23,93.57,Yes,51376.0,High School,6.34,Yes,6.14,52.87,57.73,C,Average,High Risk,Pass
STU100074,Ananya Rao,Male,15,10,B,80.91,2.57,75.91,68.66,66.53,87.06,99.56,69.88,85.96,Yes,33110.0,Diploma,7.51,Yes,5.15,67.76,53.97,C,Average,Medium Risk,Pass
STU100075,Arjun Patel,Male,15,9,D,67.17,0.76,70.55,77.28,75.63,88.93,97.01,72.65,54.7,Yes,24077.0,Diploma,3.67,Yes,3.7,31.57,44.7,D,Needs Improvement,High Risk,Pass
STU100076,Diya Sharma,Male,14,8,C,80.7,4.84,56.49,89.73,91.84,63.84,81.65,77.57,50.58,No,42583.0,Diploma,6.92,No,7.7,62.26,49.44,D,Needs Improvement,High Risk,Pass
STU100077,Ira Patel,Male,14,7,B,73.06,2.47,68.51,65.01,58.03,83.75,81.56,77.81,66.33,No,34529.0,High School,7.66,No,3.41,65.45,45.93,D,Needs Improvement,High Risk,Pass
STU100078,Aadhya Gupta,Female,14,9,D,86.58,3.26,80.94,79.63,86.75,76.25,65.97,74.73,59.62,Yes,34668.0,High School,7.16,Yes,1.0,74.41,66.69,B,Average,Low Risk,Pass
STU100079,Aadhya Iyer,Male,17,10,D,65.89,0.87,74.71,74.25,68.07,100.0,98.85,86.15,43.59,Yes,19282.0,Postgraduate,6.89,No,5.27,24.87,39.18,F,Needs Improvement,High Risk,Fail
STU100080,Vihaan Patel,Female,18,12,B,82.18,2.26,76.91,59.74,73.45,90.66,82.46,68.87,56.44,No,41524.0,Postgraduate,6.77,Yes,5.36,65.95,44.23,D,Needs Improvement,Medium Risk,Pass
STU100081,Sai Joshi,Male,16,9,A,88.87,1.3,86.98,90.13,88.12,76.26,90.57,93.18,20.54,Yes,59483.0,Postgraduate,7.96,No,5.22,77.23,60.44,B,Average,Low Risk,Pass
STU100082,Myra Das,Female,13,7,A,92.89,3.01,70.85,81.38,78.67,84.3,99.22,89.28,86.27,Yes,31206.0,High School,5.58,No,5.9,90.73,60.36,B,Average,Low Risk,Pass
STU100083,Vivaan Verma,Female,16,11,C,72.83,3.07,96.39,63.05,69.72,80.95,74.56,88.4,85.14,Yes,40316.0,Postgraduate,6.74,No,3.99,95.18,55.6,C,Average,Medium Risk,Pass
STU100084,Meera Das,Female,16,10,A,82.21,3.84,61.16,87.66,73.75,92.17,71.78,70.09,95.37,Yes,39416.0,Diploma,8.58,No,7.15,66.11,57.25,C,Average,Medium Risk,Pass
STU100085,Avni Bose,Female,15,10,C,84.21,5.68,100.0,56.7,63.13,72.52,100.0,76.6,76.36,No,51070.0,High School,5.37,Yes,2.37,100.0,58.96,C,Average,Medium Risk,Pass
STU100086,Saanvi Sharma,Female,12,6,A,100.0,4.78,92.7,69.54,73.46,100.0,92.32,86.67,61.93,Yes,104146.0,High School,6.88,Yes,5.06,58.56,63.38,B,Average,Low Risk,Pass
STU100087,Reyansh Rao,Female,13,8,B,64.22,1.1,70.66,63.13,63.1,56.34,76.61,75.6,88.42,Yes,53898.0,High School,5.79,No,3.85,50.28,39.75,F,Needs Improvement,High Risk,Fail
STU100088,Vihaan Joshi,Female,16,11,D,71.07,4.67,71.66,82.02,76.36,86.42,100.0,69.61,57.37,Yes,29129.0,Diploma,7.33,Yes,7.11,68.54,57.29,C,Average,High Risk,Pass
STU100089,Riya Gupta,Female,17,11,B,100.0,3.88,79.1,62.33,56.18,69.39,77.24,69.13,46.12,Yes,46362.0,Doctorate,7.04,No,3.51,87.21,53.28,C,Average,Medium Risk,Pass
STU100090,Avni Mishra,Male,14,9,B,78.72,3.54,84.98,82.14,78.58,81.73,87.1,69.71,67.35,Yes,57580.0,Graduate,5.96,Yes,5.24,79.77,60.8,B,Average,Medium Risk,Pass
STU100091,Aarav Verma,Male,18,11,D,59.31,3.66,92.42,79.51,87.67,96.15,75.74,64.07,77.4,Yes,28264.0,Graduate,7.03,Yes,5.27,25.87,52.62,C,Average,High Risk,Pass
STU100092,Riya Singh,Male,18,11,B,75.01,4.03,55.89,64.0,67.78,56.37,80.27,100.0,55.38,Yes,32464.0,Diploma,7.07,Yes,5.49,51.84,46.51,D,Needs Improvement,Medium Risk,Pass
STU100093,Saanvi Khan,Female,13,8,C,48.77,2.59,82.56,99.0,87.25,76.64,78.29,54.57,51.14,Yes,32205.0,Graduate,6.33,Yes,3.64,82.04,59.77,C,Average,High Risk,Pass
STU100094,Ananya Sharma,Female,17,12,D,84.89,3.41,44.25,58.08,72.94,59.22,70.21,66.23,62.5,Yes,45054.0,Graduate,6.54,No,5.83,50.73,41.96,D,Needs Improvement,Medium Risk,Pass
STU100095,Diya Das,Male,15,8,D,91.72,5.59,73.34,47.46,52.39,81.0,85.88,85.15,77.41,Yes,41393.0,Postgraduate,6.29,No,5.16,72.18,49.26,D,Needs Improvement,Medium Risk,Pass
STU100096,Sai Khan,Female,12,7,A,71.06,2.57,97.81,83.7,81.88,57.51,71.66,69.82,67.38,Yes,22968.0,Diploma,4.49,Yes,5.79,70.77,52.87,C,Average,High Risk,Pass
STU100097,Krishna Bose,Female,15,10,D,76.35,2.05,54.74,35.61,35.12,80.53,90.51,73.78,100.0,Yes,37736.0,High School,8.02,No,8.25,67.01,31.79,F,Needs Improvement,Critical Risk,Fail
STU100098,Ananya Sharma,Male,15,10,B,93.08,3.6,52.01,93.87,73.81,74.81,77.72,82.74,67.55,No,48243.0,Diploma,8.31,No,5.33,83.7,56.3,C,Average,Low Risk,Pass
STU100099,Vihaan Gupta,Male,13,6,B,61.0,1.89,79.31,71.63,83.74,88.99,59.04,90.39,83.51,Yes,79438.0,Graduate,5.07,No,3.11,89.96,56.17,C,Average,Medium Risk,Pass
STU100100,Ayaan Rao,Female,18,11,A,66.14,0.94,96.81,47.17,59.59,94.32,92.24,74.72,43.92,Yes,27000.0,Graduate,8.33,Yes,9.02,64.98,36.58,F,Needs Improvement,Critical Risk,Fail
STU100101,Ananya Das,Male,12,7,A,79.26,3.15,80.88,54.82,51.68,80.46,91.36,89.06,80.56,Yes,32411.0,Graduate,7.44,No,7.06,41.65,41.44,D,Needs Improvement,High Risk,Pass
STU100102,Aadhya Mehta,Female,16,11,B,72.97,6.02,47.43,43.85,54.08,99.44,100.0,57.63,61.68,Yes,29386.0,Graduate,5.79,Yes,6.41,84.07,46.24,D,Needs Improvement,High Risk,Pass
STU100103,Ananya Verma,Male,11,6,A,78.47,3.64,50.75,76.13,69.28,100.0,84.25,70.73,69.83,Yes,23435.0,Diploma,6.77,No,4.73,88.86,56.54,C,Average,Medium Risk,Pass
STU100104,Avni Sharma,Female,17,11,A,66.83,3.99,77.47,48.77,64.0,68.14,84.02,83.94,100.0,Yes,14896.0,Diploma,6.22,No,6.58,75.28,44.45,D,Needs Improvement,High Risk,Pass
STU100105,Meera Patel,Female,17,11,C,84.57,0.5,58.31,78.03,67.42,96.52,90.42,100.0,63.3,Yes,59837.0,Postgraduate,8.02,No,1.0,89.92,60.78,B,Average,Medium Risk,Pass
STU100106,Ishaan Gupta,Male,18,11,C,80.21,4.4,78.05,65.12,60.28,82.25,96.86,66.42,46.46,Yes,51659.0,Diploma,5.99,No,8.19,69.73,47.05,D,Needs Improvement,High Risk,Pass
STU100107,Reyansh Gupta,Female,16,10,B,88.59,3.85,78.94,62.39,64.77,67.02,94.76,64.3,49.26,Yes,58961.0,High School,9.34,Yes,6.89,63.86,52.37,C,Average,Medium Risk,Pass
STU100108,Reyansh Patel,Male,15,9,C,84.4,2.64,68.65,78.15,76.03,83.75,87.16,82.1,73.11,Yes,55145.0,Diploma,8.27,Yes,4.75,51.12,53.69,C,Average,Medium Risk,Pass
STU100109,Aadhya Iyer,Female,15,10,B,84.48,3.99,100.0,79.98,80.48,80.89,82.01,78.64,72.14,Yes,40115.0,High School,5.65,No,6.84,100.0,60.09,B,Average,Medium Risk,Pass
STU100110,Avni Das,Male,12,7,A,64.64,3.97,84.86,88.33,84.51,60.84,92.66,69.38,71.39,Yes,36623.0,Graduate,8.8,Yes,6.34,48.69,57.21,C,Average,High Risk,Pass
STU100111,Kiara Gupta,Male,17,11,A,87.91,2.0,94.17,59.86,64.71,61.49,79.88,63.4,46.86,Yes,78828.0,Graduate,7.8,Yes,3.08,67.38,50.64,C,Average,Medium Risk,Pass
STU100112,Ayaan Mehta,Male,14,9,D,78.03,4.23,89.81,69.52,75.67,100.0,65.95,71.83,100.0,Yes,65322.0,Graduate,6.83,Yes,5.46,63.46,57.67,C,Average,Medium Risk,Pass
STU100113,Krishna Das,Male,14,9,A,80.0,5.62,73.75,59.83,63.33,89.41,62.14,84.25,96.36,Yes,46187.0,Diploma,7.74,No,5.85,49.3,50.29,C,Average,Medium Risk,Pass
STU100114,Aarav Joshi,Female,16,9,B,94.58,3.34,73.08,72.61,65.26,100.0,79.89,74.0,72.35,Yes,31205.0,High School,8.02,Yes,4.83,84.29,61.57,B,Average,Low Risk,Pass
STU100115,Diya Gupta,Male,15,9,B,73.37,2.31,71.54,57.55,62.51,72.38,83.47,92.05,42.62,Yes,51030.0,High School,6.17,Yes,4.66,74.53,47.2,D,Needs Improvement,High Risk,Pass
STU100116,Reyansh Mishra,Female,11,6,D,98.21,3.42,86.22,63.21,65.62,68.81,100.0,76.37,98.52,Yes,53398.0,Diploma,7.92,Yes,6.9,69.21,55.77,C,Average,Medium Risk,Pass
STU100117,Diya Mehta,Male,12,6,C,99.33,5.07,66.24,63.3,67.69,58.89,79.03,85.22,90.46,Yes,36916.0,Graduate,6.52,Yes,5.45,61.1,53.58,C,Average,Medium Risk,Pass
STU100118,Kiara Khan,Male,14,7,A,91.03,1.74,100.0,74.69,84.19,92.0,84.01,81.34,71.85,Yes,54528.0,High School,7.9,No,8.86,66.41,51.14,C,Average,High Risk,Pass
STU100119,Vihaan Mehta,Male,11,6,C,70.23,4.63,64.81,70.05,70.24,89.41,77.49,73.16,91.58,Yes,63504.0,High School,6.85,Yes,3.79,69.35,56.54,C,Average,Medium Risk,Pass
STU100120,Meera Das,Male,16,9,C,55.76,2.62,79.22,78.1,63.31,73.12,90.51,88.0,61.1,Yes,59563.0,High School,5.89,No,5.92,72.85,45.97,D,Needs Improvement,High Risk,Pass
STU100121,Myra Das,Male,16,10,C,94.95,4.09,72.56,68.29,60.95,70.28,85.55,63.39,52.72,Yes,75291.0,Graduate,7.69,Yes,3.26,99.25,61.61,B,Average,Low Risk,Pass
STU100122,Krishna Nair,Female,15,10,C,83.34,2.8,69.24,60.72,58.25,96.5,74.78,71.36,72.83,Yes,71901.0,Diploma,6.58,No,6.45,19.79,39.18,F,Needs Improvement,High Risk,Fail
STU100123,Vivaan Bose,Male,16,9,C,73.06,2.79,100.0,73.06,71.61,76.93,67.99,73.03,42.05,Yes,77999.0,Graduate,7.17,No,2.87,88.25,58.16,C,Average,Medium Risk,Pass
STU100124,Vihaan Joshi,Male,18,11,A,96.08,6.14,69.41,55.33,55.98,83.78,77.07,82.58,50.02,No,38476.0,Diploma,7.45,No,5.68,100.0,51.45,C,Average,Medium Risk,Pass
STU100125,Riya Patel,Female,15,9,C,71.66,1.45,71.43,79.11,79.84,67.88,69.62,85.57,79.79,Yes,69633.0,Graduate,8.62,Yes,7.46,88.88,52.28,C,Average,High Risk,Pass
